MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
0.05923835979053735,0.054858688526718685,-0.010785628707911004,-0.15775259476645825,-0.1800025147296773,0.19387592233239345,-0.29593032522923385,0.1496148779332914,-0.009694109236257268,-0.05075125231835286,0.07327141247677231,-0.011993129670887141,0.03204418815565529,0.06341943845444498,0.045810547797502994,0.016057292589248408,-0.06048443590544952,0.20640730174814195,0.19799495744843318,0.17042520608617356,0.025234789028139547,0.2866484207586732
0.038189174838213456,0.06529316797668279,0.005628372746316007,-0.1621730900616214,-0.12229756072713469,0.13096041150331825,-0.3224979995091899,0.12391072513717204,-0.06702401482790898,-0.0694185284310548,0.01717430745361721,-0.07542629377035547,-0.01368561754924913,0.029928671561049572,0.03849057890764922,-0.009506224060320105,-0.0039019924507238527,0.12097275003902787,0.1719738365894786,0.21007222961663005,-0.039001716595825825,0.21767134748273206
0.034335426993357294,0.09101608088396286,0.0044206365181407355,-0.16907160853272837,-0.16871328299679897,0.18623058110403604,-0.35651905961481806,0.15710480180768485,-0.04906627172975588,-0.04940455137613106,0.02197788444221046,-0.053025193651324874,-0.011113592578709126,0.04040018308196761,0.045906006455697396,0.0006551391478986872,-0.03177171610843061,0.10608632058123915,0.1839524742443324,0.19712016043879288,0.003775289584644671,0.18631823362506134
0.036647115541768055,0.06525928391393142,0.0068622632702247865,-0.18199933288841755,-0.1661910269153007,0.18905934922370984,-0.3224707240459559,0.11750408858399343,-0.057518931237587244,-0.07123029248231429,0.023577226398512594,-0.05029163303300701,0.002959785878818889,0.03870366359466776,0.02976915693144049,0.006524876224122009,-0.021836053549735057,0.10319109160721855,0.17053829378601998,0.23233549945370113,-0.01668637635102155,0.2310354826176083
0.04325443765167193,0.0768557834594644,-0.007179082320786332,-0.14915015873277662,-0.14364345451355265,0.17228561472038548,-0.28707166863825956,0.09909145250437125,-0.05684607810135605,-0.06627553322950282,-0.004989891828122498,-0.061607720421734576,-0.022381317347537396,-0.005753354637914689,0.029920276532721193,-0.001176982361540089,-0.041979218439329356,0.09945585680812705,0.13386597789722846,0.04766236585839803,0.007624330280572749,0.14125931958294913
0.06610751573546986,0.08401949210912273,0.000682077049121296,-0.18201742818291047,-0.16809620064284667,0.21934744548086282,-0.3612622795428011,0.15537470834508654,-0.035973015492421774,-0.05913844228230185,0.0671393298129085,-0.07037772561999228,-0.00807533485575268,0.0647214948297211,0.04316787663092169,0.01721649805204635,-0.048026156428172644,0.1586854266192817,0.21128735732706297,0.1682528549991547,0.07820505312370304,0.23030601220797522
-0.32763484455709874,-0.04650446066503111,-0.011714811762176414,0.0052798798753922425,0.017089484254669156,-0.3637593789643074,0.03708030746184486,-0.30054805458043116,-0.07136827634502964,-0.06279337862321571,-0.2036865372238415,0.030640550988940186,0.005879901484517023,-0.2040777517315873,-0.08698848505186456,-0.04465640297065235,-0.14377404859545104,0.052958865599451406,0.12906465674337647,0.1148365561090021,-0.38504732392306457,0.19366453743860743
-0.4956761503763649,-0.047698483090248996,-0.040843960879815705,0.03451431418707696,-0.0005546608858054338,-0.4336355499800398,0.04750969953571411,-0.34810633741065616,-0.07350980267283502,-0.07636856863758552,-0.17912900454636518,-0.07166385714120577,-0.009189142911783594,-0.1787458050554612,-0.2834934666495373,-0.15503059564307442,-0.15917068328252781,0.05405467173534693,-0.03939553585140345,-0.08254214582569036,-0.22084032984939989,-0.03009923112847662
-0.4438749071237593,0.1200966034484059,-0.0008127399368275667,-0.04198009178801033,-0.2573468205636566,0.15358003845421722,-0.08393219824797173,0.11215331666533808,-0.02205619552788356,-0.019520621688735165,-0.037406821401006575,-0.017449724300315394,0.012108903683725813,-0.03596937592744284,0.07613768718557884,0.058350199941101404,-0.12458178743343061,0.19665928689406822,0.15618199526643825,0.2591192920016509,0.016488959787894285,0.21736700280957144
-0.3891587093194296,0.10076392145613017,0.0018798038575921722,-0.015064731409552475,-0.2626917530330141,0.10053627704098712,-0.024278086460106353,0.010728235352879574,0.026866897084837336,0.025670029533264836,0.08215701277383802,-0.03574792994354245,0.03504995051596161,0.07791741468372787,0.06886801546876979,0.07316598411095279,0.030174071152221926,0.22170215855232547,0.29812142068249625,0.2132455727985878,0.00504817806487736,0.3254087243638869
